"Medicine","Medicine__URI","Trade","Trade__URI","ATC Code","Route of administration","Route of administration__URI"
"asperines","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"assprin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspririn","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"ibprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofin","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofin","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofien","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofens","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprufen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibubrofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofren","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofins","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophens","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeeprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofens","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprohen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"neproxen","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"neproxin","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"sertaline","http://dbpedia.org/resource/Sertraline","Zoloft","http://dbpedia.org/resource/Zoloft","N06AB06","By mouth","http://dbpedia.org/resource/Oral_administration"
"acetaminophen","http://dbpedia.org/resource/Paracetamol","Tylenol","http://dbpedia.org/resource/Tylenol_(brand)","N02BE01","Rectal","http://dbpedia.org/resource/Rectal_administration"
"aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"naproxen","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
