"Country","Country__URI"
"Alabamma","http://dbpedia.org/resource/Alabama_(state)"
"Alsaka","http://dbpedia.org/resource/Alaska_(state)"
"Arizonia","http://dbpedia.org/resource/Arizona_(state)"
"Calorado","http://dbpedia.org/resource/Colorado_(state)"
"connecticutt","http://dbpedia.org/resource/Connecticut_(state)"
"conneticutt","http://dbpedia.org/resource/Connecticut_(state)"
"connetticutt","http://dbpedia.org/resource/Connecticut_(state)"
"conneticut","http://dbpedia.org/resource/Connecticut_(state)"
"Delawere","http://dbpedia.org/resource/Delaware_(state)"
"Flordia","http://dbpedia.org/resource/Florida_(state)"
"Georgeia","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Georgea","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Hawai","http://dbpedia.org/resource/Hawaii_(state)"
"Hawii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaai","http://dbpedia.org/resource/Hawaii_(state)"
"Ideho","http://dbpedia.org/resource/Idaho_(state)"
"Illanoise","http://dbpedia.org/resource/Illinois_(state)"
"Iowha","http://dbpedia.org/resource/Iowa_(state)"
"Ioaw","http://dbpedia.org/resource/Iowa_(state)"
"kentuky","http://dbpedia.org/resource/Kentucky_(state)"
"mary land","http://dbpedia.org/resource/Maryland_(state)"
"marryland","http://dbpedia.org/resource/Maryland_(state)"
"Massachussetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Masachusetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachussets","http://dbpedia.org/resource/Massachusetts_(state)"
"michgan","http://dbpedia.org/resource/Michigan_(state)"
"michagan","http://dbpedia.org/resource/Michigan_(state)"
"Nevadaa","http://dbpedia.org/resource/Nevada_(state)"
"Newvada","http://dbpedia.org/resource/Nevada_(state)"
"Navada","http://dbpedia.org/resource/Nevada_(state)"
"NewHampshire","http://dbpedia.org/resource/New_Hampshire_(state)"
"NewMexico","http://dbpedia.org/resource/New_Mexico_(state)"
"n.dak","http://dbpedia.org/resource/North_Dakota_(state)"
"northdakota","http://dbpedia.org/resource/North_Dakota_(state)"
"ndak","http://dbpedia.org/resource/North_Dakota_(state)"
"Oiho","http://dbpedia.org/resource/Ohio_(state)"
"Okalahoma","http://dbpedia.org/resource/Oklahoma_(state)"
"Orgon","http://dbpedia.org/resource/Oregon_(state)"
"rhodeisland","http://dbpedia.org/resource/Rhode_Island_(state)"
"rode island","http://dbpedia.org/resource/Rhode_Island_(state)"
"southcarolina","http://dbpedia.org/resource/South_Carolina_(state)"
"sout carolin","http://dbpedia.org/resource/South_Carolina_(state)"
"souh carolia","http://dbpedia.org/resource/South_Carolina_(state)"
"south carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"southdakota","http://dbpedia.org/resource/South_Dakota_(state)"
"Tennesee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennisse","http://dbpedia.org/resource/Tennessee_(state)"
"Tennissee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennisee","http://dbpedia.org/resource/Tennessee_(state)"
"Utes","http://dbpedia.org/resource/Utah_(state)"
"Utar","http://dbpedia.org/resource/Utah_(state)"
"West Virgina","http://dbpedia.org/resource/West_Virginia_(state)"
"West Virgnia","http://dbpedia.org/resource/West_Virginia_(state)"
"Alabama","http://dbpedia.org/resource/Alabama_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)"
"California","http://dbpedia.org/resource/California_(state)"
"Colorado","http://dbpedia.org/resource/Colorado_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)"
"Maine","http://dbpedia.org/resource/Maine_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)"
"Nebraska","http://dbpedia.org/resource/Nebraska_(state)"
"New Jersey","http://dbpedia.org/resource/New_Jersey_(state)"
"New York","http://dbpedia.org/resource/New_York_(state)"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)"
"Pennsylvania","http://dbpedia.org/resource/Pennsylvania_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"Texas","http://dbpedia.org/resource/Texas_(state)"
"Wyoming","http://dbpedia.org/resource/Wyoming_(state)"
