"Country","Country__URI","Misspelled Country","Misspelled Country__URI"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Allabama","http://dbpedia.org/resource/Alabama_(state)"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Alabamma","http://dbpedia.org/resource/Alabama_(state)"
"Alaska","http://dbpedia.org/resource/Alaska_(state)","Alsaka","http://dbpedia.org/resource/Alaska_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Arizonia","http://dbpedia.org/resource/Arizona_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Arzinoa","http://dbpedia.org/resource/Arizona_(state)"
"California","http://dbpedia.org/resource/California_(state)","Califronia","http://dbpedia.org/resource/California_(state)"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Calorado","http://dbpedia.org/resource/Colorado_(state)"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Colarado","http://dbpedia.org/resource/Colorado_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connecticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","conneticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connetticut","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connetticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","conneticut","http://dbpedia.org/resource/Connecticut_(state)"
"Delaware","http://dbpedia.org/resource/Delaware_(state)","Delawere","http://dbpedia.org/resource/Delaware_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Floridas","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Floryda","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Florda","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Flordia","http://dbpedia.org/resource/Florida_(state)"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Georgeia","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Georgea","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Hawai","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Howaii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Hawii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Hawaai","http://dbpedia.org/resource/Hawaii_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)","Idahoe","http://dbpedia.org/resource/Idaho_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)","Ideho","http://dbpedia.org/resource/Idaho_(state)"
"Illinois","http://dbpedia.org/resource/Illinois_(state)","Illanoise","http://dbpedia.org/resource/Illinois_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)","Iowha","http://dbpedia.org/resource/Iowa_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)","Ioaw","http://dbpedia.org/resource/Iowa_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)","Iwoa","http://dbpedia.org/resource/Iowa_(state)"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","kentuky","http://dbpedia.org/resource/Kentucky_(state)"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","kentucy","http://dbpedia.org/resource/Kentucky_(state)"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Louiseiana","http://dbpedia.org/resource/Louisiana_(state)"
"Maine","http://dbpedia.org/resource/Maine_(state)","main","http://dbpedia.org/resource/Maine_(state)"
"Maine","http://dbpedia.org/resource/Maine_(state)","miane","http://dbpedia.org/resource/Maine_(state)"
"Maryland","http://dbpedia.org/resource/Maryland_(state)","mary land","http://dbpedia.org/resource/Maryland_(state)"
"Maryland","http://dbpedia.org/resource/Maryland_(state)","marryland","http://dbpedia.org/resource/Maryland_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Massachussetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Masachusetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Masachusets","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Massachussets","http://dbpedia.org/resource/Massachusetts_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)","michgan","http://dbpedia.org/resource/Michigan_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)","michagin","http://dbpedia.org/resource/Michigan_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)","michagan","http://dbpedia.org/resource/Michigan_(state)"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Minesota","http://dbpedia.org/resource/Minnesota_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Mississipi","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Misouri","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Missisipi","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Missoury","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Missisippi","http://dbpedia.org/resource/Mississippi_(state)"
"Nebraska","http://dbpedia.org/resource/Nebraska_(state)","Nebrascka","http://dbpedia.org/resource/Nebraska_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Nevadaa","http://dbpedia.org/resource/Nevada_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Newvada","http://dbpedia.org/resource/Nevada_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Navada","http://dbpedia.org/resource/Nevada_(state)"
"New Hampshire","http://dbpedia.org/resource/New_Hampshire_(state)","NewHampshire","http://dbpedia.org/resource/New_Hampshire_(state)"
"New Jersey","http://dbpedia.org/resource/New_Jersey_(state)","newjersey","http://dbpedia.org/resource/New_Jersey_(state)"
"New Mexico","http://dbpedia.org/resource/New_Mexico_(state)","NewMexico","http://dbpedia.org/resource/New_Mexico_(state)"
"New York","http://dbpedia.org/resource/New_York_(state)","Newyork","http://dbpedia.org/resource/New_York_(state)"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)","North Caroleina","http://dbpedia.org/resource/North_Carolina_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)","n.dak","http://dbpedia.org/resource/North_Dakota_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)","northdakota","http://dbpedia.org/resource/North_Dakota_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)","ndak","http://dbpedia.org/resource/North_Dakota_(state)"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Oiho","http://dbpedia.org/resource/Ohio_(state)"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Okalahoma","http://dbpedia.org/resource/Oklahoma_(state)"
"Oregon","http://dbpedia.org/resource/Oregon_(state)","Orgon","http://dbpedia.org/resource/Oregon_(state)"
"Pennsylvania","http://dbpedia.org/resource/Pennsylvania_(state)","Pensylvania","http://dbpedia.org/resource/Pennsylvania_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","road island","http://dbpedia.org/resource/Rhode_Island_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","rhodeisland","http://dbpedia.org/resource/Rhode_Island_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","rode island","http://dbpedia.org/resource/Rhode_Island_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","rhod island","http://dbpedia.org/resource/Rhode_Island_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","southcarolina","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","sout carolin","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","south carolna","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","souh carolia","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","south carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"South Dakota","http://dbpedia.org/resource/South_Dakota_(state)","southdakota","http://dbpedia.org/resource/South_Dakota_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tennesee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tennisse","http://dbpedia.org/resource/Tennessee_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tennissee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tennisee","http://dbpedia.org/resource/Tennessee_(state)"
"Texas","http://dbpedia.org/resource/Texas_(state)","texes","http://dbpedia.org/resource/Texas_(state)"
"Texas","http://dbpedia.org/resource/Texas_(state)","texis","http://dbpedia.org/resource/Texas_(state)"
"Utah","http://dbpedia.org/resource/Utah_(state)","Utes","http://dbpedia.org/resource/Utah_(state)"
"Utah","http://dbpedia.org/resource/Utah_(state)","Utar","http://dbpedia.org/resource/Utah_(state)"
"West Virginia","http://dbpedia.org/resource/West_Virginia_(state)","West Virgina","http://dbpedia.org/resource/West_Virginia_(state)"
"West Virginia","http://dbpedia.org/resource/West_Virginia_(state)","West Virgnia","http://dbpedia.org/resource/West_Virginia_(state)"
"Wyoming","http://dbpedia.org/resource/Wyoming_(state)","Whyoming","http://dbpedia.org/resource/Wyoming_(state)"
"Wyoming","http://dbpedia.org/resource/Wyoming_(state)","Wioming","http://dbpedia.org/resource/Wyoming_(state)"
"Wyoming","http://dbpedia.org/resource/Wyoming_(state)","Wisconson","http://dbpedia.org/resource/Wyoming_(state)"
