"actor","actor__URI","birth_place","birth_place__URI","nationality","nationality__URI"
"Sairse Rohnan","http://dbpedia.org/resource/Saoirse_Ronan","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Edris Elba","http://dbpedia.org/resource/Idris_Elba","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Timothy Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Matthew McConaughey","http://dbpedia.org/resource/Matthew_McConaughey","Uvalde","http://dbpedia.org/resource/Uvalde,_Texas","United States","http://dbpedia.org/resource/United_States"
"Noah Centineo","http://dbpedia.org/resource/Noah_Centineo","Miami","http://dbpedia.org/resource/Miami","United States","http://dbpedia.org/resource/United_States"
"Saoirse Ronan","http://dbpedia.org/resource/Saoirse_Ronan","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Milo Ventimiglia","http://dbpedia.org/resource/Milo_Ventimiglia","Anaheim","http://dbpedia.org/resource/Anaheim,_California","United States","http://dbpedia.org/resource/United_States"
"Amanda Seyfried","http://dbpedia.org/resource/Amanda_Seyfried","Allentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","United States","http://dbpedia.org/resource/United_States"
"Barbra Streisand","http://dbpedia.org/resource/Barbra_Streisand","Brooklyn","http://dbpedia.org/resource/Brooklyn","United States","http://dbpedia.org/resource/United_States"
"Idris Elba","http://dbpedia.org/resource/Idris_Elba","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Idris Elba","http://dbpedia.org/resource/Idris_Elbaa","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Jake Gyllenhaal","http://dbpedia.org/resource/Jake_Gyllenhaal","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Mariska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Monica","http://dbpedia.org/resource/Santa_Monica,_California","United States","http://dbpedia.org/resource/United_States"
"Chrissy Teigen","http://dbpedia.org/resource/Chrissy_Teigen","Delta","http://dbpedia.org/resource/Delta,_Utah","United States","http://dbpedia.org/resource/United_States"
"Timothée Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Charlize Theron","http://dbpedia.org/resource/Charlize_Theron","Benoni","http://dbpedia.org/resource/Benoni,_Gauteng","South Africa","http://dbpedia.org/resource/South_Africa"
"Anna Wintour","http://dbpedia.org/resource/Anna_Wintour","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
