"Country","Country__URI"
"Allabama","http://dbpedia.org/resource/Alabama_(state)"
"Alabamma","http://dbpedia.org/resource/Alabama_(state)"
"Alsaka","http://dbpedia.org/resource/Alaska_(state)"
"Arzinoa","http://dbpedia.org/resource/Arizona_(state)"
"Califronia","http://dbpedia.org/resource/California_(state)"
"Calorado","http://dbpedia.org/resource/Colorado_(state)"
"Colarado","http://dbpedia.org/resource/Colorado_(state)"
"connecticutt","http://dbpedia.org/resource/Connecticut_(state)"
"conneticutt","http://dbpedia.org/resource/Connecticut_(state)"
"connetticut","http://dbpedia.org/resource/Connecticut_(state)"
"connetticutt","http://dbpedia.org/resource/Connecticut_(state)"
"conneticut","http://dbpedia.org/resource/Connecticut_(state)"
"Floridas","http://dbpedia.org/resource/Florida_(state)"
"Floryda","http://dbpedia.org/resource/Florida_(state)"
"Florda","http://dbpedia.org/resource/Florida_(state)"
"Flordia","http://dbpedia.org/resource/Florida_(state)"
"Georgeia","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Georgea","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Hawai","http://dbpedia.org/resource/Hawaii_(state)"
"Howaii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaai","http://dbpedia.org/resource/Hawaii_(state)"
"Idahoe","http://dbpedia.org/resource/Idaho_(state)"
"Illanoise","http://dbpedia.org/resource/Illinois_(state)"
"Iowha","http://dbpedia.org/resource/Iowa_(state)"
"Ioaw","http://dbpedia.org/resource/Iowa_(state)"
"Iwoa","http://dbpedia.org/resource/Iowa_(state)"
"kentuky","http://dbpedia.org/resource/Kentucky_(state)"
"kentucy","http://dbpedia.org/resource/Kentucky_(state)"
"Louiseiana","http://dbpedia.org/resource/Louisiana_(state)"
"main","http://dbpedia.org/resource/Maine_(state)"
"miane","http://dbpedia.org/resource/Maine_(state)"
"mary land","http://dbpedia.org/resource/Maryland_(state)"
"Massachussetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Masachusetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Masachusets","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachussets","http://dbpedia.org/resource/Massachusetts_(state)"
"michgan","http://dbpedia.org/resource/Michigan_(state)"
"michagin","http://dbpedia.org/resource/Michigan_(state)"
"michagan","http://dbpedia.org/resource/Michigan_(state)"
"Minesota","http://dbpedia.org/resource/Minnesota_(state)"
"Mississipi","http://dbpedia.org/resource/Mississippi_(state)"
"Misouri","http://dbpedia.org/resource/Mississippi_(state)"
"Missisipi","http://dbpedia.org/resource/Mississippi_(state)"
"Missoury","http://dbpedia.org/resource/Mississippi_(state)"
"Missisippi","http://dbpedia.org/resource/Mississippi_(state)"
"Nebrascka","http://dbpedia.org/resource/Nebraska_(state)"
"Nevadaa","http://dbpedia.org/resource/Nevada_(state)"
"Newvada","http://dbpedia.org/resource/Nevada_(state)"
"NewHampshire","http://dbpedia.org/resource/New_Hampshire_(state)"
"newjersey","http://dbpedia.org/resource/New_Jersey_(state)"
"Newyork","http://dbpedia.org/resource/New_York_(state)"
"North Caroleina","http://dbpedia.org/resource/North_Carolina_(state)"
"n.dak","http://dbpedia.org/resource/North_Dakota_(state)"
"northdakota","http://dbpedia.org/resource/North_Dakota_(state)"
"Oiho","http://dbpedia.org/resource/Ohio_(state)"
"Okalahoma","http://dbpedia.org/resource/Oklahoma_(state)"
"Orgon","http://dbpedia.org/resource/Oregon_(state)"
"Pensylvania","http://dbpedia.org/resource/Pennsylvania_(state)"
"road island","http://dbpedia.org/resource/Rhode_Island_(state)"
"rhodeisland","http://dbpedia.org/resource/Rhode_Island_(state)"
"rode island","http://dbpedia.org/resource/Rhode_Island_(state)"
"rhod island","http://dbpedia.org/resource/Rhode_Island_(state)"
"southcarolina","http://dbpedia.org/resource/South_Carolina_(state)"
"sout carolin","http://dbpedia.org/resource/South_Carolina_(state)"
"souh carolia","http://dbpedia.org/resource/South_Carolina_(state)"
"south carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"southdakota","http://dbpedia.org/resource/South_Dakota_(state)"
"Tennesee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennisse","http://dbpedia.org/resource/Tennessee_(state)"
"Tennisee","http://dbpedia.org/resource/Tennessee_(state)"
"texes","http://dbpedia.org/resource/Texas_(state)"
"texis","http://dbpedia.org/resource/Texas_(state)"
"Utes","http://dbpedia.org/resource/Utah_(state)"
"Utar","http://dbpedia.org/resource/Utah_(state)"
"West Virgina","http://dbpedia.org/resource/West_Virginia_(state)"
"Whyoming","http://dbpedia.org/resource/Wyoming_(state)"
"Wioming","http://dbpedia.org/resource/Wyoming_(state)"
"Wisconson","http://dbpedia.org/resource/Wyoming_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)"
"Delaware","http://dbpedia.org/resource/Delaware_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)"
"Maryland","http://dbpedia.org/resource/Maryland_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)"
"New Mexico","http://dbpedia.org/resource/New_Mexico_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)"
"West Virginia","http://dbpedia.org/resource/West_Virginia_(state)"
