"manufacturer","manufacturer__URI","manufacturerCountry","manufacturerCountry__URI","automobile","automobile__URI","assemblyPlace","assemblyPlace__URI","year","sold"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Miichigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1996","46355"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigann","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1997","70549"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, MMichigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1998","66620"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigann","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1999","47911"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2000","11201"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigann","http://dbpedia.org/resource/Sterling_Heights,_Michigan","2000","2030"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2001","27322"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpee","http://dbpedia.org/resource/Ramos_Arizpe","2001","31754"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2002","27793"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpee","http://dbpedia.org/resource/Ramos_Arizpe","2002","61468"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2003","27354"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpee","http://dbpedia.org/resource/Ramos_Arizpe","2003","72643"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Pekan Districtt","http://dbpedia.org/resource/Pekan_District","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Tehrann","http://dbpedia.org/resource/Tehran","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Grazz","http://dbpedia.org/resource/Graz","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Johorr Bahru","http://dbpedia.org/resource/Johor_Bahru","2003","55683"
