"publisher","publisher__URI","videogame","videogame__URI","genre","genre__URI","platform","platform__URI","releaseDate"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighterr IV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2008-07-18"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighter IVV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-02-12"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighter IVV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-02-17"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighter IVV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-02-20"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighter IV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-07-02"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighter IVV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-07-03"
"Capcom","http://dbpedia.org/resource/Capcom","Street Fighter IVV","http://dbpedia.org/resource/Street_Fighter_IV","Fighting game","http://dbpedia.org/resource/Fighting_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-07-07"
"Konami","http://dbpedia.org/resource/Konami","Puddle (video game))","http://dbpedia.org/resource/Puddle_(video_game)","Puzzle video game","http://dbpedia.org/resource/Puzzle_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-01-12"
"Atlus","http://dbpedia.org/resource/Atlus","Trine 2","http://dbpedia.org/resource/Trine_2","Puzzle video game","http://dbpedia.org/resource/Puzzle_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1929-11-13"
"Sega","http://dbpedia.org/resource/Sega","Hatsuune Miku: Project DIVA Arcade","http://dbpedia.org/resource/Hatsune_Miku:_Project_DIVA_Arcade","Rhythm game","http://dbpedia.org/resource/Rhythm_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1921-11-10"
"Nicalis","http://dbpedia.org/resource/Nicalis","1001 Spikes","http://dbpedia.org/resource/1001_Spikes","Adventure game","http://dbpedia.org/resource/Adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-11-14"
"Sega","http://dbpedia.org/resource/Sega","Valkyria Chronicles","http://dbpedia.org/resource/Valkyria_Chronicles","Tactical role-playing game","http://dbpedia.org/resource/Tactical_role-playing_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1931-10-08"
"Koei Tecmo","http://dbpedia.org/resource/Koei_Tecmo","Berserk and the Band of the Hawkk","http://dbpedia.org/resource/Berserk_and_the_Band_of_the_Hawk","Action role-playing video game","http://dbpedia.org/resource/Action_role-playing_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1921-02-16"
"Koei Tecmo","http://dbpedia.org/resource/Koei_Tecmo","Uncharted Waters Onlinee","http://dbpedia.org/resource/Uncharted_Waters_Online","MMORPG","http://dbpedia.org/resource/MMORPG","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2007-01-07"
