"Nation","Nation__URI","National anthem (original)","National anthem (original)__URI","National anthem (English)","National anthem (English)__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI"
"Afghanistan","http://dbpedia.org/resource/Afghanistan","Millī Surūd","http://dbpedia.org/resource/Afghan_National_Anthem","National Anthem","http://dbpedia.org/resource/Afghan_National_Anthem","2006","Abdul Bari Jahaniii","http://dbpedia.org/resource/Abdul_Bari_Jahani","Babrak Wassa",""
"Albania","http://dbpedia.org/resource/Albania","Betimi mbi Flamurr","http://dbpedia.org/resource/Hymn_to_the_Flag","The Pledge on the Flag","http://dbpedia.org/resource/Hymn_to_the_Flag","1912","Aleksandër Stavvre Drenovaa","http://dbpedia.org/resource/Aleksandër_Stavre_Drenova","Ciprian Porumbescu","http://dbpedia.org/resource/Ciprian_Porumbescu"
"Algeria","http://dbpedia.org/resource/Algeria","Kassaman","http://dbpedia.org/resource/Kassaman","We Pledge","http://dbpedia.org/resource/Kassaman","1962","Moufdi Zakariaaaa","http://dbpedia.org/resource/Moufdi_Zakaria","Mohamed Fawzi","http://dbpedia.org/resource/Mohamed_Fawzi_(artist)"
"Andorra","http://dbpedia.org/resource/Andorra","El Gran Carlemany","http://dbpedia.org/resource/El_Gran_Carlemany","The Great Charlemagne","http://dbpedia.org/resource/El_Gran_Carlemany","1914","Enric Marfanyy Bonss","","Juan Benlloch y Vivó","http://dbpedia.org/resource/Juan_Benlloch_y_Vivó"
"Angola","http://dbpedia.org/resource/Angola","Angola Avantee","http://dbpedia.org/resource/Angola_Avante","Forward Angola","http://dbpedia.org/resource/Angola_Avante","1975","Manuel Rui Alves Montteiroo","http://dbpedia.org/resource/Manuel_Rui_Alves_Monteiro","Rui Alberto Vieira Dias Mingas",""
"Antigua and Barbuda","http://dbpedia.org/resource/Antigua_and_Barbuda","Fair Antigua, We Salute Theee","http://dbpedia.org/resource/Fair_Antigua,_We_Salute_Thee","","","1981","Novelle Hamilton Richardsss","","Walter Garnet Picart Chambers",""
"Argentina","http://dbpedia.org/resource/Argentina","Himno Nacional Argentino","http://dbpedia.org/resource/Argentine_National_Anthem","Argentine National Anthem","http://dbpedia.org/resource/Argentine_National_Anthem","1813","Vicente López y Planessss","http://dbpedia.org/resource/Vicente_López_y_Planes","Blas Parera","http://dbpedia.org/resource/Blas_Parera"
"Armenia","http://dbpedia.org/resource/Armenia","Mer Hayrenik","http://dbpedia.org/resource/Mer_Hayrenik","Our Fatherland","http://dbpedia.org/resource/Mer_Hayrenik","1918","Mikael Nalbandiian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyan","http://dbpedia.org/resource/Barsegh_Kanachyan"
"Armenia","http://dbpedia.org/resource/Armenia","Mer Hayrenikk","http://dbpedia.org/resource/Mer_Hayrenik","Our Fatherland","http://dbpedia.org/resource/Mer_Hayrenik","1991","Mikael Nallbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyan","http://dbpedia.org/resource/Barsegh_Kanachyan"
"Australia","http://dbpedia.org/resource/Australia","Advance Australia Fairr","http://dbpedia.org/resource/Advance_Australia_Fair","","","1984","Peter Dodds McCormickkkk","http://dbpedia.org/resource/Peter_Dodds_McCormick","Peter Dodds McCormick","http://dbpedia.org/resource/Peter_Dodds_McCormick"
"Austria","http://dbpedia.org/resource/Austria","Bundeshymne der Republik Österreichh","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","National Anthem of the Republic of Austria","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula vvon Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Wolfgang Amadeus Mozart","http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart"
"Austria","http://dbpedia.org/resource/Austria","Bundeshymne der Republik Österreichh","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","National Anthem of the Republic of Austria","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula vvon Preradoviććć","http://dbpedia.org/resource/Paula_von_Preradović","Johann Holzer",""
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Azərbayccan marşı","http://dbpedia.org/resource/Azərbaycan_marşı","Azerbaijan's Anthem","http://dbpedia.org/resource/Azərbaycan_marşı","1918","Ahmed Javadddd","http://dbpedia.org/resource/Ahmed_Javad","Uzeyir Hajibeyov","http://dbpedia.org/resource/Uzeyir_Hajibeyov"
"Bahamas","http://dbpedia.org/resource/The_Bahamas","March On, Bahamaland","http://dbpedia.org/resource/March_On,_Bahamaland","","","1973","Timmothy Giibsonn","","Timothy Gibson",""
"Bahrain","http://dbpedia.org/resource/Bahrain","Bahraainona","http://dbpedia.org/resource/Bahrainona","Our Bahrain","http://dbpedia.org/resource/Bahrainona","1971","Mohaamed Sudqi Ayyashh","http://dbpedia.org/resource/Mohamed_Sudqi_Ayyash","",""
"Bangladesh","http://dbpedia.org/resource/Bangladesh","AAmar Shonar Bangla","http://dbpedia.org/resource/Amar_Shonar_Bangla","My Golden Bengal","http://dbpedia.org/resource/Amar_Shonar_Bangla","1972","Rabindranath Tagoree","http://dbpedia.org/resource/Rabindranath_Tagore","Samar Das","http://dbpedia.org/resource/Samar_Das"
