"name","name__URI","birthDate","birthPlace","birthPlace__URI","region","region__URI","country","country__URI"
"William Austin","http://dbpedia.org/resource/William_Austin_(actor)","1884-06-12","Georgetown","http://dbpedia.org/resource/Georgetown,_Guyana","Demerara-Mahaicaa","http://dbpedia.org/resource/Demerara-Mahaica","GGuyyana","http://dbpedia.org/resource/Guyana"
"Gauge","http://dbpedia.org/resource/Gauge_(actress)","1980-07-24","Hot Springs","http://dbpedia.org/resource/Hot_Springs,_Arkansas","Arkaansas","http://dbpedia.org/resource/Arkansas","UUnited Statess","http://dbpedia.org/resource/United_States"
"Savannah","http://dbpedia.org/resource/Savannah_(actress)","1970-10-09","Mission Viejo","http://dbpedia.org/resource/Mission_Viejo,_California","Californiia","http://dbpedia.org/resource/California","United Statess","http://dbpedia.org/resource/United_States"
"Obsession","http://dbpedia.org/resource/Obsession_(actress)","1976-09-29","Portland","http://dbpedia.org/resource/Portland,_Oregon","Clackamas County, Oregon","http://dbpedia.org/resource/Clackamas_County,_Oregon","United Statess","http://dbpedia.org/resource/United_States"
"Kirsten Price","http://dbpedia.org/resource/Kirsten_Price_(actress)","1981-11-13","Providence","http://dbpedia.org/resource/Providence,_Rhode_Island","Providence CCounty, Rhode Island","http://dbpedia.org/resource/Providence_County,_Rhode_Island","United States","http://dbpedia.org/resource/United_States"
"Viper","http://dbpedia.org/resource/Viper_(actress)","1959-09-12","Oak Ridge","http://dbpedia.org/resource/Oak_Ridge,_Tennessee","Anderson Counnty, Tennessee","http://dbpedia.org/resource/Anderson_County,_Tennessee","United Statesss","http://dbpedia.org/resource/United_States"
"Nikki Randall","http://dbpedia.org/resource/Nikki_Randall_(actress)","1964-08-11","Macon","http://dbpedia.org/resource/Macon,_Georgia","Georgia (U.S. state))","http://dbpedia.org/resource/Georgia_(U.S._state)","Unitedd Statess","http://dbpedia.org/resource/United_States"
"Nikki Randall","http://dbpedia.org/resource/Nikki_Randall_(actress)","1964-08-11","Macon","http://dbpedia.org/resource/Macon,_Georgia","Bibb Counnty, Georgia","http://dbpedia.org/resource/Bibb_County,_Georgia","United Statess","http://dbpedia.org/resource/United_States"
"Obsession","http://dbpedia.org/resource/Obsession_(actress)","1976-09-29","Portland","http://dbpedia.org/resource/Portland,_Oregon","Oregonn","http://dbpedia.org/resource/Oregon","United States","http://dbpedia.org/resource/United_States"
"Houston","http://dbpedia.org/resource/Houston_(actress)","1969-03-24","Long Beach","http://dbpedia.org/resource/Long_Beach,_California","California","http://dbpedia.org/resource/California","United Statess","http://dbpedia.org/resource/United_States"
"Obsession","http://dbpedia.org/resource/Obsession_(actress)","1976-09-29","Portland","http://dbpedia.org/resource/Portland,_Oregon","Washington County, Oregonn","http://dbpedia.org/resource/Washington_County,_Oregon","United Staatess","http://dbpedia.org/resource/United_States"
"Belladonna","http://dbpedia.org/resource/Belladonna_(actress)","1981-05-21","Biloxi","http://dbpedia.org/resource/Biloxi,_Mississippi","Harrison County, Mississippii","http://dbpedia.org/resource/Harrison_County,_Mississippi","United Statess","http://dbpedia.org/resource/United_States"
"Gauge","http://dbpedia.org/resource/Gauge_(actress)","1980-07-24","Hot Springs","http://dbpedia.org/resource/Hot_Springs,_Arkansas","Garland County, Arkansass","http://dbpedia.org/resource/Garland_County,_Arkansas","United Statesss","http://dbpedia.org/resource/United_States"
"Missy","http://dbpedia.org/resource/Missy_(actress)","1967-09-24","Burbank","http://dbpedia.org/resource/Burbank,_California","Californiaa","http://dbpedia.org/resource/California","United Stattees","http://dbpedia.org/resource/United_States"
"Obsession","http://dbpedia.org/resource/Obsession_(actress)","1976-09-29","Portland","http://dbpedia.org/resource/Portland,_Oregon","Multnomah County, Oregonn","http://dbpedia.org/resource/Multnomah_County,_Oregon","United Statesss","http://dbpedia.org/resource/United_States"
"Belladonna","http://dbpedia.org/resource/Belladonna_(actress)","1981-05-21","Biloxi","http://dbpedia.org/resource/Biloxi,_Mississippi","Mississsippi","http://dbpedia.org/resource/Mississippi","United SStates","http://dbpedia.org/resource/United_States"
"Jill Kelly","http://dbpedia.org/resource/Jill_Kelly_(actress)","1971-02-01","Pomona","http://dbpedia.org/resource/Pomona,_California","California","http://dbpedia.org/resource/California","United Statess","http://dbpedia.org/resource/United_States"
"Midori","http://dbpedia.org/resource/Midori_(actress)","1968-07-19","Durham","http://dbpedia.org/resource/Durham,_North_Carolina","North Caarolina","http://dbpedia.org/resource/North_Carolina","Uniteed States","http://dbpedia.org/resource/United_States"
"Kirsten Price","http://dbpedia.org/resource/Kirsten_Price_(actress)","1981-11-13","Providence","http://dbpedia.org/resource/Providence,_Rhode_Island","Rhoode Island","http://dbpedia.org/resource/Rhode_Island","United Statess","http://dbpedia.org/resource/United_States"
"Mark Dalton","http://dbpedia.org/resource/Mark_Dalton_(actor)","1980-03-06","Denton","http://dbpedia.org/resource/Denton,_Texas","Denton County, Texass","http://dbpedia.org/resource/Denton_County,_Texas","Uniteed Statess","http://dbpedia.org/resource/United_States"
