"name","name__URI","birthDate","birthPlace","birthPlace__URI","region","region__URI","country","country__URI"
"Ben Chapman","http://dbpedia.org/resource/Ben_Chapman_(baseball)","1908-12-25","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Tennessee","http://dbpedia.org/resource/Tennessee","United States","http://dbpedia.org/resource/United_States"
"John Noell","http://dbpedia.org/resource/John_Noel_(sport_shooter)","1888-02-06","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Tennessee","http://dbpedia.org/resource/Tennessee","United States","http://dbpedia.org/resource/United_States"
"William Schneiderr","http://dbpedia.org/resource/William_Schneider_(politician)","1959-04-25","Syracuse","http://dbpedia.org/resource/Syracuse,_New_York","New York","http://dbpedia.org/resource/New_York","United States","http://dbpedia.org/resource/United_States"
"Kevin Lee","http://dbpedia.org/resource/Kevin_Lee_(American_football)","1971-01-01","Mobile","http://dbpedia.org/resource/Mobile,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Angela Littlee","http://dbpedia.org/resource/Angela_Little_(actress)","1972-07-22","Albertville","http://dbpedia.org/resource/Albertville,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Jerry Wilsonn","http://dbpedia.org/resource/Jerry_Wilson_(defensive_end)","1936-12-09","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Jimmy Murphy","http://dbpedia.org/resource/Jimmy_Murphy_(musician)","1925-10-11","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Ernie Johnsonn","http://dbpedia.org/resource/Ernie_Johnson_(American_football)","1926-01-29","Berkeley","http://dbpedia.org/resource/Berkeley,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Kathleen Kennedyy","http://dbpedia.org/resource/Kathleen_Kennedy_(producer)","1953-06-05","Berkeley","http://dbpedia.org/resource/Berkeley,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Maars","http://dbpedia.org/resource/Mars_(rapper)","1980-04-18","Antioch","http://dbpedia.org/resource/Antioch,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Brian Kelly","http://dbpedia.org/resource/Brian_Kelly_(wide_receiver)","1956-03-27","Arcadia","http://dbpedia.org/resource/Arcadia,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Anthony Brown","http://dbpedia.org/resource/Anthony_Brown_(basketball)","1992-10-10","Bellflower","http://dbpedia.org/resource/Bellflower,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Jack Harriss","http://dbpedia.org/resource/Jack_Harris_(American_football)","1902-09-29","Jackson","http://dbpedia.org/resource/Jackson,_Michigan","Jackson County, Michigan","http://dbpedia.org/resource/Jackson_County,_Michigan","United States","http://dbpedia.org/resource/United_States"
"G. B. Edwardss","http://dbpedia.org/resource/G._B._Edwards_(entomologist)","1948-11-24","Aberdeen","http://dbpedia.org/resource/Aberdeen,_Maryland","Maryland","http://dbpedia.org/resource/Maryland","United States","http://dbpedia.org/resource/United_States"
"Rick Jonnes","http://dbpedia.org/resource/Rick_Jones_(politician)","1952-11-17","Battle Creek","http://dbpedia.org/resource/Battle_Creek,_Michigan","Michigan","http://dbpedia.org/resource/Michigan","United States","http://dbpedia.org/resource/United_States"
"George Putnam","http://dbpedia.org/resource/George_Putnam_(newsman)","1914-07-14","Breckenridge","http://dbpedia.org/resource/Breckenridge,_Minnesota","Minnesota","http://dbpedia.org/resource/Minnesota","United States","http://dbpedia.org/resource/United_States"
"Tyler Johnsonn","http://dbpedia.org/resource/Tyler_Johnson_(baseball)","1981-06-07","Columbia","http://dbpedia.org/resource/Columbia,_Missouri","Missouri","http://dbpedia.org/resource/Missouri","United States","http://dbpedia.org/resource/United_States"
"Joe Gllenn","http://dbpedia.org/resource/Joe_Glenn_(American_football)","1949-03-07","Lincoln","http://dbpedia.org/resource/Lincoln,_Nebraska","Nebraska","http://dbpedia.org/resource/Nebraska","United States","http://dbpedia.org/resource/United_States"
"Greg Lewiss","http://dbpedia.org/resource/Greg_Lewis_(basketball)","1978-09-06","Akron","http://dbpedia.org/resource/Akron,_Ohio","Ohio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Justin Lester","http://dbpedia.org/resource/Justin_Lester_(wrestler)","1983-09-30","Akron","http://dbpedia.org/resource/Akron,_Ohio","Ohio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Michael Buckleyy","http://dbpedia.org/resource/Michael_Buckley_(author)","1969-08-16","Akron","http://dbpedia.org/resource/Akron,_Ohio","Ohio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Scott Stricklinn","http://dbpedia.org/resource/Scott_Stricklin_(baseball)","1972-02-17","Athens","http://dbpedia.org/resource/Athens,_Ohio","Ohio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Kevin Youngg","http://dbpedia.org/resource/Kevin_Young_(baseball)","1969-06-16","Alpena","http://dbpedia.org/resource/Alpena,_Michigan","Alpena County, Michigan","http://dbpedia.org/resource/Alpena_County,_Michigan","United States","http://dbpedia.org/resource/United_States"
"Larry Scott","http://dbpedia.org/resource/Larry_Scott_(bodybuilder)","1938-10-12","Blackfoot","http://dbpedia.org/resource/Blackfoot,_Idaho","Bingham County, Idaho","http://dbpedia.org/resource/Bingham_County,_Idaho","United States","http://dbpedia.org/resource/United_States"
"Al Smith","http://dbpedia.org/resource/Al_Smith_(umpire)","1925-06-11","Bossier City","http://dbpedia.org/resource/Bossier_City,_Louisiana","Bossier Parish, Louisiana","http://dbpedia.org/resource/Bossier_Parish,_Louisiana","United States","http://dbpedia.org/resource/United_States"
"Raymond Hiitchcock","http://dbpedia.org/resource/Raymond_Hitchcock_(actor)","1865-10-22","Auburn","http://dbpedia.org/resource/Auburn,_New_York","Cayuga County, New York","http://dbpedia.org/resource/Cayuga_County,_New_York","United States","http://dbpedia.org/resource/United_States"
"Robert Maarx","http://dbpedia.org/resource/Robert_Marx_(fencer)","1956-09-25","Portland","http://dbpedia.org/resource/Portland,_Oregon","Clackamas County, Oregon","http://dbpedia.org/resource/Clackamas_County,_Oregon","United States","http://dbpedia.org/resource/United_States"
"John Reedd","http://dbpedia.org/resource/John_Reed_(journalist)","1887-10-22","Portland","http://dbpedia.org/resource/Portland,_Oregon","Clackamas County, Oregon","http://dbpedia.org/resource/Clackamas_County,_Oregon","United States","http://dbpedia.org/resource/United_States"
"Wayne Millss","http://dbpedia.org/resource/Wayne_Mills_(singer)","1969-08-17","Arab","http://dbpedia.org/resource/Arab,_Alabama","Cullman County, Alabama","http://dbpedia.org/resource/Cullman_County,_Alabama","United States","http://dbpedia.org/resource/United_States"
"William Tylerr","http://dbpedia.org/resource/William_Tyler_(musician)","1979-12-25","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Davidson County, Tennessee","http://dbpedia.org/resource/Davidson_County,_Tennessee","United States","http://dbpedia.org/resource/United_States"
"PPreston Brown","http://dbpedia.org/resource/Preston_Brown_(wide_receiver)","1958-03-02","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Davidson County, Tennessee","http://dbpedia.org/resource/Davidson_County,_Tennessee","United States","http://dbpedia.org/resource/United_States"
"Charles Davis","http://dbpedia.org/resource/Charles_Davis_(basketball,_born_1958)","1958-10-05","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Davidson County, Tennessee","http://dbpedia.org/resource/Davidson_County,_Tennessee","United States","http://dbpedia.org/resource/United_States"
"Russ Freemann","http://dbpedia.org/resource/Russ_Freeman_(guitarist)","1960-02-11","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Davidson County, Tennessee","http://dbpedia.org/resource/Davidson_County,_Tennessee","United States","http://dbpedia.org/resource/United_States"
"Chris Porterr","http://dbpedia.org/resource/Chris_Porter_(basketball)","1978-05-09","Abbeville","http://dbpedia.org/resource/Abbeville,_Alabama","Henry County, Alabama","http://dbpedia.org/resource/Henry_County,_Alabama","United States","http://dbpedia.org/resource/United_States"
"Bill Lathamm","http://dbpedia.org/resource/Bill_Latham_(baseball)","1960-08-29","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Jefferson County, Alabama","http://dbpedia.org/resource/Jefferson_County,_Alabama","United States","http://dbpedia.org/resource/United_States"
"Ricky Joness","http://dbpedia.org/resource/Ricky_Jones_(American_football)","1955-03-09","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Jefferson County, Alabama","http://dbpedia.org/resource/Jefferson_County,_Alabama","United States","http://dbpedia.org/resource/United_States"
"Albert Halll","http://dbpedia.org/resource/Albert_Hall_(baseball)","1958-03-07","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Jefferson County, Alabama","http://dbpedia.org/resource/Jefferson_County,_Alabama","United States","http://dbpedia.org/resource/United_States"
