"name","name__URI","birthDate","birthPlace","birthPlace__URI","region","region__URI","country","country__URI"
"Ángel Castro","http://dbpedia.org/resource/Ángel_Castro_(baseball)","1982-11-14","Pimentel","http://dbpedia.org/resource/Pimentel,_Dominican_Republic","Duarte Prrovince","http://dbpedia.org/resource/Duarte_Province","Dominican Republicc","http://dbpedia.org/resource/Dominican_Republic"
"Paul Goodman","http://dbpedia.org/resource/Paul_Goodman_(ice_hockey)","1905-02-25","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlakeee","http://dbpedia.org/resource/Interlake","Canadaa","http://dbpedia.org/resource/Canada"
"Harry Oliver","http://dbpedia.org/resource/Harry_Oliver_(ice_hockey)","1898-10-26","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","IInterlakee","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Andrew Murray","http://dbpedia.org/resource/Andrew_Murray_(ice_hockey)","1981-11-06","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlaake","http://dbpedia.org/resource/Interlake","Canadda","http://dbpedia.org/resource/Canada"
"Paul Boyd","http://dbpedia.org/resource/Paul_Boyd_(journalist)","1976-11-07","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlakeee","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Terry Ball","http://dbpedia.org/resource/Terry_Ball_(ice_hockey)","1944-11-29","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlakee","http://dbpedia.org/resource/Interlake","Canadaa","http://dbpedia.org/resource/Canada"
"Neil Wilkinson","http://dbpedia.org/resource/Neil_Wilkinson_(ice_hockey)","1967-08-15","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlakee","http://dbpedia.org/resource/Interlake","Caanada","http://dbpedia.org/resource/Canada"
"John Morrison","http://dbpedia.org/resource/John_Morrison_(ice_hockey_b._1895)","1895-03-04","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlakeee","http://dbpedia.org/resource/Interlake","Canadaa","http://dbpedia.org/resource/Canada"
"Michi","http://dbpedia.org/resource/Michi_(Japanese_singer)","1996-03-30","Okinawa","http://dbpedia.org/resource/Okinawa,_Okinawa","Okinawa Prefectture","http://dbpedia.org/resource/Okinawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Beni","http://dbpedia.org/resource/Beni_(singer)","1986-03-30","Miyakojima","http://dbpedia.org/resource/Miyakojima,_Okinawa","Okinawa Prefectureee","http://dbpedia.org/resource/Okinawa_Prefecture","Japann","http://dbpedia.org/resource/Japan"
"Kohei Yamamoto","http://dbpedia.org/resource/Kohei_Yamamoto_(footballer)","1986-04-15","Ayase","http://dbpedia.org/resource/Ayase,_Kanagawa","Kanagawa Prefectture","http://dbpedia.org/resource/Kanagawa_Prefecture","Japann","http://dbpedia.org/resource/Japan"
"Josh Kelly","http://dbpedia.org/resource/Josh_Kelly_(actor)","1982-04-25","Yokosuka","http://dbpedia.org/resource/Yokosuka,_Kanagawa","Kanagawa Prefecture","http://dbpedia.org/resource/Kanagawa_Prefecture","Jaapan","http://dbpedia.org/resource/Japan"
"hide","http://dbpedia.org/resource/Hide_(musician)","1964-12-13","Yokosuka","http://dbpedia.org/resource/Yokosuka,_Kanagawa","Kanagawa  Prefecturee","http://dbpedia.org/resource/Kanagawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
