"Nickname","Nickname__URI","Team","Team__URI","BirthPlace","BirthPlace__URI"
"Air Gordonn","http://dbpedia.org/resource/Aaron_Gordon","Orlando Magicc","http://dbpedia.org/resource/Orlando_Magic","San Jose, California","http://dbpedia.org/resource/San_Jose,_California"
"Ace","http://dbpedia.org/resource/Ace_Gruenig","Denver Nuggets","http://dbpedia.org/resource/Denver_Nuggets","Chicago","http://dbpedia.org/resource/Chicago"
"AA.I.","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"Bubba Chuckk","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76erss","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"Steven John Ray the Thirdd","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"The Answer","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"ZZo","http://dbpedia.org/resource/Alonzo_Mourning","Charlotte Hornetss","http://dbpedia.org/resource/Charlotte_Hornets","Chesapeake, Virginia","http://dbpedia.org/resource/Chesapeake,_Virginia"
"STAT","http://dbpedia.org/resource/Amar'e_Stoudemire","Phoenix Sunss","http://dbpedia.org/resource/Phoenix_Suns","Lake Wales, Florida","http://dbpedia.org/resource/Lake_Wales,_Florida"
"Wild  Thing","http://dbpedia.org/resource/Anderson_Varejão","Golden Sttate Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Colatina","http://dbpedia.org/resource/Colatina"
"Igggy","http://dbpedia.org/resource/Andre_Iguodala","Miami  Heat","http://dbpedia.org/resource/Miami_Heat","Springfield, Illinois","http://dbpedia.org/resource/Springfield,_Illinois"
"Ill Mago","http://dbpedia.org/resource/Andrea_Bargnani","Toronto Raptors","http://dbpedia.org/resource/Toronto_Raptors","Rome","http://dbpedia.org/resource/Rome"
"AK477","http://dbpedia.org/resource/Andrei_Kirilenko","Utah Jazzz","http://dbpedia.org/resource/Utah_Jazz","Izhevsk","http://dbpedia.org/resource/Izhevsk"
"killiing","http://dbpedia.org/resource/Andrew_Toney","Philadelphia 76erss","http://dbpedia.org/resource/Philadelphia_76ers","Birmingham, Alabama","http://dbpedia.org/resource/Birmingham,_Alabama"
"The Boston Strangler","http://dbpedia.org/resource/Andrew_Toney","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Birmingham, Alabama","http://dbpedia.org/resource/Birmingham,_Alabama"
"Maple Jordann","http://dbpedia.org/resource/Andrew_Wiggins","Golden State Warriorss","http://dbpedia.org/resource/Golden_State_Warriors","Thornhill","http://dbpedia.org/resource/Thornhill,_Ontario"
"Doubble A","http://dbpedia.org/resource/Anthony_Anderson_(basketball)","Saint John Mill Ratss","http://dbpedia.org/resource/Saint_John_Mill_Rats","Lynn, Massachusetts","http://dbpedia.org/resource/Lynn,_Massachusetts"
"AD","http://dbpedia.org/resource/Anthony_Davis_(basketball)","New Orleans Hornetss","http://dbpedia.org/resource/New_Orleans_Hornets","Chicago","http://dbpedia.org/resource/Chicago"
"Broww","http://dbpedia.org/resource/Anthony_Davis_(basketball)","New Orleans Hornetss","http://dbpedia.org/resource/New_Orleans_Hornets","Chicago","http://dbpedia.org/resource/Chicago"
"Glasss","http://dbpedia.org/resource/Anthony_Davis_(basketball)","New Orleans Hornnets","http://dbpedia.org/resource/New_Orleans_Hornets","Chicago","http://dbpedia.org/resource/Chicago"
"Big Daawg","http://dbpedia.org/resource/Antoine_Carr","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Oklahoma City","http://dbpedia.org/resource/Oklahoma_City"
"Dicee","http://dbpedia.org/resource/Antonio_McDyess","Los Angeles Clipperss","http://dbpedia.org/resource/Los_Angeles_Clippers","Quitman, Mississippi","http://dbpedia.org/resource/Quitman,_Mississippi"
"The Hammmer","http://dbpedia.org/resource/Armen_Gilliam","Phoenix Suns","http://dbpedia.org/resource/Phoenix_Suns","Bethel Park, Pennsylvania","http://dbpedia.org/resource/Bethel_Park,_Pennsylvania"
"A Train","http://dbpedia.org/resource/Artis_Gilmore","Chicago Bulls","http://dbpedia.org/resource/Chicago_Bulls","Chipley, Florida","http://dbpedia.org/resource/Chipley,_Florida"
"Sabas","http://dbpedia.org/resource/Arvydas_Sabonis","Portland  Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Kaunas","http://dbpedia.org/resource/Kaunas"
"Madison Square Gordon","http://dbpedia.org/resource/Ben_Gordon","Chicago Bullss","http://dbpedia.org/resource/Chicago_Bulls","London","http://dbpedia.org/resource/London"
"Big Ben","http://dbpedia.org/resource/Ben_Simmons","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Victoria (Australia)","http://dbpedia.org/resource/Victoria_(Australia)"
"Fresh Princce","http://dbpedia.org/resource/Ben_Simmons","Philadelphia 76erss","http://dbpedia.org/resource/Philadelphia_76ers","Victoria (Australia)","http://dbpedia.org/resource/Victoria_(Australia)"
"Big Benn","http://dbpedia.org/resource/Ben_Wallace","Detroit Pistonss","http://dbpedia.org/resource/Detroit_Pistons","White Hall, Alabama","http://dbpedia.org/resource/White_Hall,_Alabama"
"Bevoo","http://dbpedia.org/resource/Bevo_Francis","Philadelphia Warriorss","http://dbpedia.org/resource/Philadelphia_Warriors","Hammondsville, Ohio","http://dbpedia.org/resource/Hammondsville,_Ohio"
"Dollar Bill","http://dbpedia.org/resource/Bill_Bradley","New York Knickss","http://dbpedia.org/resource/New_York_Knicks","Crystal City, Missouri","http://dbpedia.org/resource/Crystal_City,_Missouri"
"Mr. Pressident","http://dbpedia.org/resource/Bill_Bradley","New York Knickks","http://dbpedia.org/resource/New_York_Knicks","Crystal City, Missouri","http://dbpedia.org/resource/Crystal_City,_Missouri"
"The Secretary of Statee","http://dbpedia.org/resource/Bill_Bradley","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Crystal City, Missouri","http://dbpedia.org/resource/Crystal_City,_Missouri"
