"actor_misspelled","actor_misspelled__URI","actor","actor__URI","birth_place","birth_place__URI","nationality","nationality__URI"
"Matthew McConeuhay","http://dbpedia.org/resource/Matthew_McConaughey","Matthew McConaughey","http://dbpedia.org/resource/Matthew_McConaughey","Uvaldee","http://dbpedia.org/resource/Uvalde,_Texas","United Statesss","http://dbpedia.org/resource/United_States"
"Matthew Mconnaughey","http://dbpedia.org/resource/Matthew_McConaughey","Matthew McConaughey","http://dbpedia.org/resource/Matthew_McConaughey","Uvaldee","http://dbpedia.org/resource/Uvalde,_Texas","United Statesss","http://dbpedia.org/resource/United_States"
"Matthew McConaehuy","http://dbpedia.org/resource/Matthew_McConaughey","Matthew McConaughey","http://dbpedia.org/resource/Matthew_McConaughey","Uvaldee","http://dbpedia.org/resource/Uvalde,_Texas","United States","http://dbpedia.org/resource/United_States"
"Noa Centenio","http://dbpedia.org/resource/Noah_Centineo","Noah Centineo","http://dbpedia.org/resource/Noah_Centineo","Miamii","http://dbpedia.org/resource/Miami","United Statesss","http://dbpedia.org/resource/United_States"
"Noah Cinteneo","http://dbpedia.org/resource/Noah_Centineo","Noah Centineo","http://dbpedia.org/resource/Noah_Centineo","MMiami","http://dbpedia.org/resource/Miami","United Statesss","http://dbpedia.org/resource/United_States"
"Noah Centeneo","http://dbpedia.org/resource/Noah_Centineo","Noah Centineo","http://dbpedia.org/resource/Noah_Centineo","MMiami","http://dbpedia.org/resource/Miami","United Staates","http://dbpedia.org/resource/United_States"
"Saoirsha Ronan","http://dbpedia.org/resource/Saoirse_Ronan","Saoirse Ronan","http://dbpedia.org/resource/Saoirse_Ronan","New Yorkk","http://dbpedia.org/resource/New_York_City","United Statesss","http://dbpedia.org/resource/United_States"
"Seirsha Ronan","http://dbpedia.org/resource/Saoirse_Ronan","Saoirse Ronan","http://dbpedia.org/resource/Saoirse_Ronan","New York","http://dbpedia.org/resource/New_York_City","United SStattes","http://dbpedia.org/resource/United_States"
"Sairse Rohnan","http://dbpedia.org/resource/Saoirse_Ronan","Saoirse Ronan","http://dbpedia.org/resource/Saoirse_Ronan","Neww York","http://dbpedia.org/resource/New_York_City","Unitedd Statess","http://dbpedia.org/resource/United_States"
"Milo Vintimigilia","http://dbpedia.org/resource/Milo_Ventimiglia","Milo Ventimiglia","http://dbpedia.org/resource/Milo_Ventimiglia","AAnaheim","http://dbpedia.org/resource/Anaheim,_California","United Statesss","http://dbpedia.org/resource/United_States"
"Milo Ventemigilia","http://dbpedia.org/resource/Milo_Ventimiglia","Milo Ventimiglia","http://dbpedia.org/resource/Milo_Ventimiglia","Annaheim","http://dbpedia.org/resource/Anaheim,_California","Unnited Statess","http://dbpedia.org/resource/United_States"
"Milo Vintemigilia","http://dbpedia.org/resource/Milo_Ventimiglia","Milo Ventimiglia","http://dbpedia.org/resource/Milo_Ventimiglia","Anaheimm","http://dbpedia.org/resource/Anaheim,_California","United  Statess","http://dbpedia.org/resource/United_States"
"Amanda Seyfred","http://dbpedia.org/resource/Amanda_Seyfried","Amanda Seyfried","http://dbpedia.org/resource/Amanda_Seyfried","Alllentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","United Statess","http://dbpedia.org/resource/United_States"
"Amanda Siyfried","http://dbpedia.org/resource/Amanda_Seyfried","Amanda Seyfried","http://dbpedia.org/resource/Amanda_Seyfried","Allentownn","http://dbpedia.org/resource/Allentown,_Pennsylvania","United Statess","http://dbpedia.org/resource/United_States"
"Amanda Sehfried","http://dbpedia.org/resource/Amanda_Seyfried","Amanda Seyfried","http://dbpedia.org/resource/Amanda_Seyfried","Allenntown","http://dbpedia.org/resource/Allentown,_Pennsylvania","United Statess","http://dbpedia.org/resource/United_States"
"Barbra Strisend","http://dbpedia.org/resource/Barbra_Streisand","Barbra Streisand","http://dbpedia.org/resource/Barbra_Streisand","Brooklyn","http://dbpedia.org/resource/Brooklyn","United Staates","http://dbpedia.org/resource/United_States"
"Barbra Streizand","http://dbpedia.org/resource/Barbra_Streisand","Barbra Streisand","http://dbpedia.org/resource/Barbra_Streisand","Brookllyn","http://dbpedia.org/resource/Brooklyn","United Statess","http://dbpedia.org/resource/United_States"
"Barbara Streisand","http://dbpedia.org/resource/Barbra_Streisand","Barbra Streisand","http://dbpedia.org/resource/Barbra_Streisand","Brooklynn","http://dbpedia.org/resource/Brooklyn","Uniited States","http://dbpedia.org/resource/United_States"
"Edris Elba","http://dbpedia.org/resource/Idris_Elba","Idris Elba","http://dbpedia.org/resource/Idris_Elba","Londdon","http://dbpedia.org/resource/London","Englandd","http://dbpedia.org/resource/England"
"Idris Elbah","http://dbpedia.org/resource/Idris_Elbaa","Idris Elba","http://dbpedia.org/resource/Idris_Elba","London","http://dbpedia.org/resource/London","Englandd","http://dbpedia.org/resource/England"
"Idres Elba","http://dbpedia.org/resource/Idris_Elba","Idris Elba","http://dbpedia.org/resource/Idris_Elbaa","London","http://dbpedia.org/resource/London","Ennglland","http://dbpedia.org/resource/England"
"Jake Gylenhaal","http://dbpedia.org/resource/Jake_Gyllenhaal","Jake Gyllenhaal","http://dbpedia.org/resource/Jake_Gyllenhaal","LLos Angeles","http://dbpedia.org/resource/Los_Angeles","United Statess","http://dbpedia.org/resource/United_States"
"Jake Gyllenhal","http://dbpedia.org/resource/Jake_Gyllenhaal","Jake Gyllenhaal","http://dbpedia.org/resource/Jake_Gyllenhaal","Los Angeless","http://dbpedia.org/resource/Los_Angeles","United Statesss","http://dbpedia.org/resource/United_States"
"Jake Gylenhall","http://dbpedia.org/resource/Jake_Gyllenhaal","Jake Gyllenhaal","http://dbpedia.org/resource/Jake_Gyllenhaal","Los Angeles","http://dbpedia.org/resource/Los_Angeles","Unnited States","http://dbpedia.org/resource/United_States"
"Meriska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Mariska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Monica","http://dbpedia.org/resource/Santa_Monica,_California","United Statess","http://dbpedia.org/resource/United_States"
