"Medicine_misspelled","Medicine_misspelled__URI","Medicine","Medicine__URI","Trade","Trade__URI","ATC Code","Route of administration","Route of administration__URI"
"acetomenophen","http://dbpedia.org/resource/Paracetamol","acetaminophen","http://dbpedia.org/resource/Paracetamol","Tyleenol","http://dbpedia.org/resource/Tylenol_(brand)","N02BE01","Rectal","http://dbpedia.org/resource/Rectal_administration"
"aspirine","http://dbpedia.org/resource/Aspirin","aspirinn","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asprine","http://dbpedia.org/resource/Aspirin","asppirinn","http://dbpedia.org/resource/Aspirin","Bayer Aspirinn","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperine","http://dbpedia.org/resource/Aspirin","aspirinnn","http://dbpedia.org/resource/Aspirin","Bayer Aspirinn","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperines","http://dbpedia.org/resource/Aspirin","aspirinnn","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspin","http://dbpedia.org/resource/Aspirin","aspirinnn","http://dbpedia.org/resource/Aspirin","Bayer Aspirinn","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperin","http://dbpedia.org/resource/Aspirin","asppirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspren","http://dbpedia.org/resource/Aspirin","asspirin","http://dbpedia.org/resource/Aspirin","Bayer AAspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"assprin","http://dbpedia.org/resource/Aspirin","aspirinn","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspririn","http://dbpedia.org/resource/Aspirin","aspirinn","http://dbpedia.org/resource/Aspirin","Bayer Aspirinn","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"ibprofen","http://dbpedia.org/resource/Ibuprofen","ibuproofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofen","http://dbpedia.org/resource/Ibuprofen","ibuupprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofien","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofens","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Addvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibproufen","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprofen","http://dbpedia.org/resource/Ibuprofen","ibbuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprufen","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibubrofen","http://dbpedia.org/resource/Ibuprofen","ibuuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofren","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibp","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","AAdvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofins","http://dbpedia.org/resource/Ibuprofen","ibuproffenn","http://dbpedia.org/resource/Ibuprofen","AAdvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofene","http://dbpedia.org/resource/Ibuprofen","iibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophens","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuens","http://dbpedia.org/resource/Ibuprofen","ibbuprofeen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeeprofen","http://dbpedia.org/resource/Ibuprofen","ibuproffenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrophen","http://dbpedia.org/resource/Ibuprofen","ibuprrofenn","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprophen","http://dbpedia.org/resource/Ibuprofen","ibuproffenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrufen","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrupofen","http://dbpedia.org/resource/Ibuprofen","ibuproofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibreprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibroprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprofen","http://dbpedia.org/resource/Ibuprofen","ibuproofenn","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofens","http://dbpedia.org/resource/Ibuprofen","ibuproofenn","http://dbpedia.org/resource/Ibuprofen","Adviil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprophin","http://dbpedia.org/resource/Ibuprofen","ibuprofeenn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprouphen","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibueprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofenn","http://dbpedia.org/resource/Ibuprofen","Addvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibupropen","http://dbpedia.org/resource/Ibuprofen","ibuprofennn","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
