"Country","Country__URI","Country_misspelled","Country_misspelled__URI"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Allabama","http://dbpedia.org/resource/Alabama_(state)"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Alabammaa","http://dbpedia.org/resource/Alabama_(state)"
"Alaska","http://dbpedia.org/resource/Alaska_(state)","Alsakaa","http://dbpedia.org/resource/Alaska_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Arizonia","http://dbpedia.org/resource/Arizona_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Arzinoa","http://dbpedia.org/resource/Arizona_(state)"
"California","http://dbpedia.org/resource/California_(state)","Callifronia","http://dbpedia.org/resource/California_(state)"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Callorado","http://dbpedia.org/resource/Colorado_(state)"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Colaradoo","http://dbpedia.org/resource/Colorado_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connecticuttt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","conneticuttt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connetticut","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connetticuttt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","conneticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Delaware","http://dbpedia.org/resource/Delaware_(state)","Delaweree","http://dbpedia.org/resource/Delaware_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Floridass","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Florydaa","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Florda","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Flordiaa","http://dbpedia.org/resource/Florida_(state)"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Georgeia","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","GGeorgea","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Hawai","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Howaiii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Hawiii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)","Hawaaii","http://dbpedia.org/resource/Hawaii_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)","Idahoee","http://dbpedia.org/resource/Idaho_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)","IIdeho","http://dbpedia.org/resource/Idaho_(state)"
"Illinois","http://dbpedia.org/resource/Illinois_(state)","Illanoise","http://dbpedia.org/resource/Illinois_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)","Iowhaa","http://dbpedia.org/resource/Iowa_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)","Ioaw","http://dbpedia.org/resource/Iowa_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)","Iwoaa","http://dbpedia.org/resource/Iowa_(state)"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","kentukyy","http://dbpedia.org/resource/Kentucky_(state)"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","kentucy","http://dbpedia.org/resource/Kentucky_(state)"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Louiseeiana","http://dbpedia.org/resource/Louisiana_(state)"
"Maine","http://dbpedia.org/resource/Maine_(state)","maiin","http://dbpedia.org/resource/Maine_(state)"
"Maine","http://dbpedia.org/resource/Maine_(state)","miiane","http://dbpedia.org/resource/Maine_(state)"
"Maryland","http://dbpedia.org/resource/Maryland_(state)","mary landd","http://dbpedia.org/resource/Maryland_(state)"
"Maryland","http://dbpedia.org/resource/Maryland_(state)","marryland","http://dbpedia.org/resource/Maryland_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Massachusssetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Masachusettss","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Masachusetss","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Massachussetss","http://dbpedia.org/resource/Massachusetts_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)","michgan","http://dbpedia.org/resource/Michigan_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)","michagin","http://dbpedia.org/resource/Michigan_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)","michhagan","http://dbpedia.org/resource/Michigan_(state)"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Minesotaa","http://dbpedia.org/resource/Minnesota_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Mississipi","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Misouri","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Missisipi","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Missoury","http://dbpedia.org/resource/Mississippi_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Misssisippi","http://dbpedia.org/resource/Mississippi_(state)"
"Nebraska","http://dbpedia.org/resource/Nebraska_(state)","Nebrasckaa","http://dbpedia.org/resource/Nebraska_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Nevadaaa","http://dbpedia.org/resource/Nevada_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Newvadaa","http://dbpedia.org/resource/Nevada_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Navadaa","http://dbpedia.org/resource/Nevada_(state)"
"New Hampshire","http://dbpedia.org/resource/New_Hampshire_(state)","NewHamppshire","http://dbpedia.org/resource/New_Hampshire_(state)"
"New Jersey","http://dbpedia.org/resource/New_Jersey_(state)","newwjersey","http://dbpedia.org/resource/New_Jersey_(state)"
"New Mexico","http://dbpedia.org/resource/New_Mexico_(state)","NewMexicoo","http://dbpedia.org/resource/New_Mexico_(state)"
"New York","http://dbpedia.org/resource/New_York_(state)","Newyyork","http://dbpedia.org/resource/New_York_(state)"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)","North Caroleinaa","http://dbpedia.org/resource/North_Carolina_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)","n.dakk","http://dbpedia.org/resource/North_Dakota_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)","northdakotaa","http://dbpedia.org/resource/North_Dakota_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)","ndakk","http://dbpedia.org/resource/North_Dakota_(state)"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Oihoo","http://dbpedia.org/resource/Ohio_(state)"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","OOkalahoma","http://dbpedia.org/resource/Oklahoma_(state)"
"Oregon","http://dbpedia.org/resource/Oregon_(state)","Orgon","http://dbpedia.org/resource/Oregon_(state)"
"Pennsylvania","http://dbpedia.org/resource/Pennsylvania_(state)","Pensylvaniaa","http://dbpedia.org/resource/Pennsylvania_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","road islandd","http://dbpedia.org/resource/Rhode_Island_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","rhodeislandd","http://dbpedia.org/resource/Rhode_Island_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","rode islannd","http://dbpedia.org/resource/Rhode_Island_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)","rhod island","http://dbpedia.org/resource/Rhode_Island_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","southcarolinaa","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","sout carolinn","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","south carolnaa","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","souh caroliaa","http://dbpedia.org/resource/South_Carolina_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)","south carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"South Dakota","http://dbpedia.org/resource/South_Dakota_(state)","souuthdakota","http://dbpedia.org/resource/South_Dakota_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tenneseee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tennnisse","http://dbpedia.org/resource/Tennessee_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tennisseee","http://dbpedia.org/resource/Tennessee_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)","Tenniseee","http://dbpedia.org/resource/Tennessee_(state)"
"Texas","http://dbpedia.org/resource/Texas_(state)","texees","http://dbpedia.org/resource/Texas_(state)"
"Texas","http://dbpedia.org/resource/Texas_(state)","texxis","http://dbpedia.org/resource/Texas_(state)"
"Utah","http://dbpedia.org/resource/Utah_(state)","Utess","http://dbpedia.org/resource/Utah_(state)"
