"Rank","Brand","Brand__URI","Value","Industry","Industry__URI"
1,"Microsoft","http://dbpedia.org/resource/Microsoft",62039,"Software","http://dbpedia.org/resource/Software"
2,"GE","http://dbpedia.org/resource/General_Electric",55834,"Technology","http://dbpedia.org/resource/Technology"
3,"Coca-Cola","http://dbpedia.org/resource/The_Coca-Cola_Company",41406,"F&D&T",
4,"China Mobile","http://dbpedia.org/resource/China_Mobile",39168,"Telecom","http://dbpedia.org/resource/Telecommunication"
5,"Marlboro","http://dbpedia.org/page/Marlboro_(cigarette)",38510,"F&D&T",
6,"Wal-Mart","http://dbpedia.org/resource/Walmart",37567,"Retail","http://dbpedia.org/resource/Retail_industry"
7,"Google","http://dbpedia.org/resource/Google",37445,"Software","http://dbpedia.org/resource/Software"
8,"IBM","http://dbpedia.org/resource/IBM",36084,"Software","http://dbpedia.org/resource/Software"
9,"Citibank","http://dbpedia.org/resource/Citibank",31028,"Bank","http://dbpedia.org/resource/Banking_industry"
10,"Toyota","http://dbpedia.org/resource/Toyota",30201,"Cars","http://dbpedia.org/page/Automotive_industry"
11,"McDonald's","http://dbpedia.org/page/McDonald's",28985,"F&D&T",
12,"Bof America","http://dbpedia.org/resource/Bank_of_America",28155,"Bank","http://dbpedia.org/resource/Banking_industry"
13,"Home Depot","http://dbpedia.org/resource/The_Home_Depot",27312,"Retail","http://dbpedia.org/resource/Retail_industry"
14,"Nokia","http://dbpedia.org/resource/Nokia",26538,"Technology","http://dbpedia.org/resource/Technology"
15,"Intel","http://dbpedia.org/resource/Intel",25156,"Technology","http://dbpedia.org/resource/Technology"
16,"Vodafone","http://dbpedia.org/resource/Vodafone",24072,"Telecom","http://dbpedia.org/resource/Telecommunication"
17,"BMW","http://dbpedia.org/resource/BMW",23820,"Cars","http://dbpedia.org/page/Automotive_industry"
18,"Disney","http://dbpedia.org/resource/The_Walt_Disney_Company",22232,"Software","http://dbpedia.org/resource/Software"
19,"UPS","http://dbpedia.org/resource/United_Parcel_Service",21829,"Retail","http://dbpedia.org/resource/Retail_industry"
20,"Cisco","http://dbpedia.org/resource/Cisco_System",20922,"Technology","http://dbpedia.org/resource/Technology"
21,"HP","http://dbpedia.org/resource/Hewlett-Packard",19732,"Technology","http://dbpedia.org/resource/Technology"
22,"TIM","http://dbpedia.org/resource/Telecom_Italia_Mobile",19551,"Telecom","http://dbpedia.org/resource/Telecommunication"
23,"NTT Docomo","http://dbpedia.org/resource/NTT_DoCoMo",19518,"Telecom","http://dbpedia.org/resource/Telecommunication"
24,"Louis Vuitton","http://dbpedia.org/resource/Louis_Vuitton",19479,"Luxury","http://dbpedia.org/resource/Luxury_good"
25,"American Express","http://dbpedia.org/resource/American_Express",18780,"Finance","http://dbpedia.org/resource/Finance_industry"
26,"Dell","http://dbpedia.org/resource/Dell",18303,"Technology","http://dbpedia.org/resource/Technology"
27,"Gillette","http://dbpedia.org/resource/Gillette_(brand)",17832,"Personal Care","http://dbpedia.org/resource/Personal_Care"
28,"Mercedes","http://dbpedia.org/resource/Mercedes-Benz",17801,"Cars","http://dbpedia.org/page/Automotive_industry"
29,"Apple","http://dbpedia.org/resource/Apple_Inc.",15976,"Technology","http://dbpedia.org/resource/Technology"
30,"Tesco","http://dbpedia.org/resource/Tesco",15532,"Retail","http://dbpedia.org/resource/Retail_industry"
31,"Movistar","http://dbpedia.org/resource/Movistar",15188,"Telecom","http://dbpedia.org/resource/Telecommunication"
32,"Verizon","http://dbpedia.org/resource/Verizon_Communications",14908,"Telecom","http://dbpedia.org/resource/Telecommunication"
33,"Honda","http://dbpedia.org/resource/Honda",14394,"Cars","http://dbpedia.org/page/Automotive_industry"
34,"Yahoo!","http://dbpedia.org/resource/Yahoo!",14101,"Software","http://dbpedia.org/resource/Software"
35,"Oracle","http://dbpedia.org/resource/Oracle_Corporation http://dbpedia.org/resource/Criticism_of_Oracle http://dbpedia.org/resource/SCOracle http://dbpedia.org/resource/Oracle_(corporation) http://dbpedia.org/resource/Oracle_corp http://dbpedia.org/resource/Oracle_Corporation http://dbpedia.org/resource/Oracle_Media_Server http://dbpedia.org/resource/Oracle_corporation http://dbpedia.org/resource/Oracle_Corp http://dbpedia.org/resource/The_Oracle_Corporation http://dbpedia.org/resource/Oracle_corp. http://dbpedia.org/resource/ORCL http://dbpedia.org/resource/Oracle_Corp. http://dbpedia.org/resource/Oracle_(company) http://dbpedia.org/resource/InQuira http://dbpedia.org/resource/ORACLE_Corporation http://dbpedia.org/resource/Oracle.com http://dbpedia.org/resource/Oracle_Cloud",13913,"Software","http://dbpedia.org/resource/Software"
