"State/Province","State/Province__URI","Lake Name","Lake Name__URI","File Size"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","H Neely Henry Lake *","http://dbpedia.org/resource/Neely_Henry_Lake http://dbpedia.org/resource/Neely_henry_lake http://dbpedia.org/resource/Lake_Neely_Henry http://dbpedia.org/resource/Neely_Henry_Lake http://dbpedia.org/resource/Neely_Henry_Dam","1,289 KB"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Logan Martin Lake","http://dbpedia.org/resource/Logan_Martin_Lake http://dbpedia.org/resource/Logan_Martin_Lake http://dbpedia.org/resource/Lake_Logan_Martin http://dbpedia.org/resource/Logan_martin_lake","1,213 KB"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Weiss Lake","http://dbpedia.org/resource/Weiss_Lake http://dbpedia.org/resource/Weiss_Lake http://dbpedia.org/resource/Lake_Weiss http://dbpedia.org/resource/Weiss_Dam","1,142 KB"
"Alberta","http://dbpedia.org/resource/Alberta","Gleniffer Lake","http://dbpedia.org/resource/Gleniffer_Lake_(Alberta) http://dbpedia.org/resource/Gleniffer_Lake_(Alberta)","67 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Alamo Lake","http://dbpedia.org/resource/Alamo_Lake_State_Park http://dbpedia.org/resource/Alamo_Lake_State_Park http://dbpedia.org/resource/Alamo_Lake http://dbpedia.org/resource/Alamo_Dam http://dbpedia.org/resource/Alamo_lake_state_park","99 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Bartlett Reservoir","http://dbpedia.org/resource/Bartlett_Lake http://dbpedia.org/resource/Bartlett_Lake http://dbpedia.org/resource/Bartlett_Reservoir,_Arizona http://dbpedia.org/resource/Bartlett_lake_(arizona) http://dbpedia.org/resource/Lake_Bartlett http://dbpedia.org/resource/Bartlett_Lake_(Arizona)","173 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Blue Ridge Reservoir","http://dbpedia.org/resource/Blue_Ridge_Reservoir http://dbpedia.org/resource/Blue_Ridge_Reservoir http://dbpedia.org/resource/Blue_ridge_reservoir","183 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Pleasant, Lake *",,"430 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Sunrise Lake",,"125 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Beaver Lake","http://dbpedia.org/resource/Beaver_Lake_(Arkansas) http://dbpedia.org/resource/Beaver_Dam,_Arkansas http://dbpedia.org/resource/Beaver_Lake_(Arkansas) http://dbpedia.org/resource/Beaver_Dam_(Arkansas) http://dbpedia.org/resource/Beaver_lake_(arkansas)","2,158 KB"
