"Rank","Player (2011 TBs)","Player (2011 Tbs)__URI","TBs"
1,"Hank Aaron","http://dbpedia.org/resource/Hank_Aaron http://dbpedia.org/resource/Hank_Aaron_(baseball) http://dbpedia.org/resource/Bad_Henry http://dbpedia.org/resource/Hank_Aaron http://dbpedia.org/resource/Aaron,_Hank http://dbpedia.org/resource/Henry_L._Aaron http://dbpedia.org/resource/Henry_%22Hank%22_Aaron http://dbpedia.org/resource/Hammer_(baseball_player) http://dbpedia.org/resource/Hank_aron http://dbpedia.org/resource/Henry_Louis_%22Hank%22_Aaron http://dbpedia.org/resource/Henry_Louis_Aaron","6,856"
2,"Stan Musial","http://dbpedia.org/resource/Stan_Musial http://dbpedia.org/resource/Stanley_Frank_Musial http://dbpedia.org/resource/Stan_Musial http://dbpedia.org/resource/Stan_the_Man http://dbpedia.org/resource/Stan_The_Man","6,134"
3,"Willie Mays","http://dbpedia.org/resource/Willie_Mays http://dbpedia.org/resource/Willie_mays http://dbpedia.org/resource/William_Howard_Mays,_Jr. http://dbpedia.org/resource/Willie_Howard_Mays,_Jr. http://dbpedia.org/resource/Mays,_Willie_Howard,_Jr. http://dbpedia.org/resource/William_Howard_Mays_Jr. http://dbpedia.org/resource/Say_Hey_Kid http://dbpedia.org/resource/Willie_Mays http://dbpedia.org/resource/Willy_Mays http://dbpedia.org/resource/The_Say_Hey_Kid","6,066"
4,"Barry Bonds","http://dbpedia.org/resource/Barry_Bonds http://dbpedia.org/resource/Barry_Lamar_Bonds http://dbpedia.org/resource/Bary_Bonds http://dbpedia.org/resource/Barry_L._Bonds http://dbpedia.org/resource/Career_statistics_of_Barry_Bonds http://dbpedia.org/resource/Barry_bonds http://dbpedia.org/resource/Barroid http://dbpedia.org/resource/Barry_Bonds_714th_home_run http://dbpedia.org/resource/Barry_Bonds http://dbpedia.org/resource/Berry_Bonds http://dbpedia.org/resource/Barry_Bnds http://dbpedia.org/resource/Barroid_Bonds http://dbpedia.org/resource/Ba_bonds http://dbpedia.org/resource/Barry_L_Bonds","5,976"
5,"Ty Cobb","http://dbpedia.org/resource/Ty_Cobb http://dbpedia.org/resource/Ty_Cobb http://dbpedia.org/resource/Tyrus_Raymond_Cobb http://dbpedia.org/resource/The_Georgia_Peach http://dbpedia.org/resource/Tyrus_Cobb http://dbpedia.org/resource/Cobb,_Ty","5,854"
6,"Babe Ruth","http://dbpedia.org/resource/Babe_Ruth http://dbpedia.org/resource/Babe_Ruthe http://dbpedia.org/resource/George_Herman_%22Babe%22_Ruth http://dbpedia.org/resource/George_Herman_Ruth http://dbpedia.org/resource/George_Ruth http://dbpedia.org/resource/George_H._Ruth http://dbpedia.org/resource/Abbe_Ruth http://dbpedia.org/resource/George_Herman_Ruth,_Jr. http://dbpedia.org/resource/Ruth,_Babe http://dbpedia.org/resource/The_Great_Bambino http://dbpedia.org/resource/The_Sultna_of_Swat http://dbpedia.org/resource/Babe_Ruth http://dbpedia.org/resource/Babe_Ruth_Birthplace_Museum http://dbpedia.org/resource/Great_Bambino http://dbpedia.org/resource/Sultan_of_Swat http://dbpedia.org/resource/The_Sultan_of_Swat http://dbpedia.org/resource/G._H._Ruth http://dbpedia.org/resource/Julia_Ruth_Stevens http://dbpedia.org/resource/The_Bambino","5,793"
7,"Pete Rose","http://dbpedia.org/resource/Pete_Rose http://dbpedia.org/resource/Charley_Hustle http://dbpedia.org/resource/4,256 http://dbpedia.org/resource/4256 http://dbpedia.org/resource/Pete_Rose:_An_American_Dilemma http://dbpedia.org/resource/Charlie_Hustle http://dbpedia.org/resource/Charlie_hustle http://dbpedia.org/resource/Peter_Edward_Rose http://dbpedia.org/resource/Pete_Rose http://dbpedia.org/resource/Peter_E._Rose http://dbpedia.org/resource/Rose,_Pete","5,752"
8,"Carl Yastrzemski","http://dbpedia.org/resource/Carl_Yastrzemski http://dbpedia.org/resource/Carl_Yastremski http://dbpedia.org/resource/Carl_Yaztremski http://dbpedia.org/resource/Carl_Yastrzemski http://dbpedia.org/resource/Carl_Yazstremski http://dbpedia.org/resource/Carl_Yaztrzemski http://dbpedia.org/resource/Yastrzemski http://dbpedia.org/resource/Carl_Michael_Yastrzemski","5,539"
9,"Eddie Murray","http://dbpedia.org/resource/Eddie_Murray http://dbpedia.org/resource/Edward_%22Eddie%22_Murray http://dbpedia.org/resource/Eddie_Murray","5,397"
10,"Rafael Palmeiro","http://dbpedia.org/resource/Rafael_Palmeiro http://dbpedia.org/resource/Raffy_Palmeiro http://dbpedia.org/resource/Rafael_Palmeiro http://dbpedia.org/resource/Palmeiroid http://dbpedia.org/resource/Preston_Palmeiro http://dbpedia.org/resource/Palmeiro http://dbpedia.org/resource/I_have_never_used_steroids_period","5,388"
