"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Jeff Bagwell","http://dbpedia.org/resource/Jeff_Bagwell http://dbpedia.org/resource/Jeff_Bagwell","NL","Astros","http://dbpedia.org/page/Houston_Astros","07-18",2001,"."
"John Olerud","http://dbpedia.org/resource/John_Olerud http://dbpedia.org/resource/John_Olerud http://dbpedia.org/resource/John_olerued http://dbpedia.org/resource/Olerud","AL","Mariners","http://dbpedia.org/page/Seattle_Mariners","06-17",2001,"??2"
"Luis Gonzalez","http://dbpedia.org/resource/Luis_Gonzalez_(outfielder) http://dbpedia.org/resource/Luis_Gonzalez_(outfielder) http://dbpedia.org/resource/Luis_Gonz�Ã�¡lez_(baseball_outfielder) http://dbpedia.org/resource/Luis_Gonzalez_(baseball_outfielder)","?m?k","Diamondbacks","http://dbpedia.org/page/Arizona_Diamondbacks","07-05",2000,"."
"Eric Chavez","http://dbpedia.org/resource/Eric_Chavez http://dbpedia.org/resource/Eric_Chavez http://dbpedia.org/resource/Eric_Ch�Ã�¡vez","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","06-21",2000,"."
"Mike Lansing","http://dbpedia.org/resource/Mike_Lansing http://dbpedia.org/resource/Mike_Lansing","?m?k","Rockies","http://dbpedia.org/page/Colorado_Rockies","06-18",2000,"."
"Jason Kendall","http://dbpedia.org/resource/Jason_Kendall http://dbpedia.org/resource/Jason_Kendall","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","05-19",2000,"."
"Jose Valentin","http://dbpedia.org/resource/Jos%C3%A9_Valent%C3%ADn http://dbpedia.org/resource/Jos%C3%A9_Valent%C3%ADn","?`?k","White Sox","http://dbpedia.org/page/Chicago_White_Sox","04-27",2000,"."
"Chris Singleton","http://dbpedia.org/resource/Chris_Singleton_(baseball) http://dbpedia.org/resource/Chris_Singleton_(baseball) http://dbpedia.org/resource/Christopher_Singleton http://dbpedia.org/resource/Chris_Singleton_(baseball_player)","?`?k","White Sox","http://dbpedia.org/page/Chicago_White_Sox","07-06",1999,"."
"Todd Helton","http://dbpedia.org/resource/Todd_Helton http://dbpedia.org/resource/Todd_Helton","?m?k","Rockies","http://dbpedia.org/page/Colorado_Rockies","06-19",1999,"."
"Jeff Kent","http://dbpedia.org/resource/Jeff_Kent http://dbpedia.org/resource/J_Kent http://dbpedia.org/resource/Jeff_Kent_(2004_All-star) http://dbpedia.org/resource/Jeff_Kent_(baseball_player) http://dbpedia.org/resource/Jeff_Kent","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","05-03",1999,"."
"Neifi Perez","http://dbpedia.org/resource/Neifi_P%C3%A9rez http://dbpedia.org/resource/Neifi_P%C3%A9rez","?m?k","Rockies","http://dbpedia.org/page/Colorado_Rockies","07-25",1998,"."
"Dante Bichette","http://dbpedia.org/resource/Dante_Bichette http://dbpedia.org/resource/Dante_Bichette","?m?k","Rockies","http://dbpedia.org/page/Colorado_Rockies","06-10",1998,"."
