"Nickname","Nickname__URI","Place of Birth","Place of Birth__URI","Date of Birth"
"The King of Rock 'n' Roll","http://dbpedia.org/resource/Elvis_Presley","Tupelo","http://dbpedia.org/resource/Tupelo,_Mississippi","1958-8-29"
"Chairman of the Board","http://dbpedia.org/resource/Frank_Sinatra","Hoboken","http://dbpedia.org/resource/Hoboken,_New_Jersey","1935-1-8"
"Piano Man","http://dbpedia.org/resource/Billy_Joel","The Bronx","http://dbpedia.org/resource/The_Bronx","1949-05-09"
"The King of the Blues","http://dbpedia.org/resource/B.B._King","Berclair","http://dbpedia.org/resource/Berclair,_Mississippi","1925-9-16"
"The Boss","http://dbpedia.org/resource/Bruce_Springsteen","Long Branch","http://dbpedia.org/resource/Long_Branch,_New_Jersey","1949-9-23"
"The Fab Four","http://dbpedia.org/resource/The_Beatles","---","","---"
"The Man in Black","http://dbpedia.org/resource/Johnny_Cash","Kingsland","http://dbpedia.org/resource/Kingsland,_Arkansas","1932-2-26"
"The Prince of Darkness","http://dbpedia.org/resource/Ozzy_Osbourne","Aston","http://dbpedia.org/resource/Aston","1948-12-03"
"The Oz","http://dbpedia.org/resource/Ozzy_Osbourne","Aston","http://dbpedia.org/resource/Aston","1948-12-3"
"The Queen of Soul","http://dbpedia.org/resource/Aretha_Franklin","Memphis","http://dbpedia.org/resource/Memphis,_Tennessee","1942-03-25"
"Satchmo","http://dbpedia.org/resource/Louis_Armstrong","New Orleans","http://dbpedia.org/resource/New_Orleans","1901-8-4"
"The King of Pop","http://dbpedia.org/resource/Michael_Jackson","Gary","http://dbpedia.org/resource/Gary,_Indiana","1958-8-29"
"Slowhand","http://dbpedia.org/resource/Eric_Clapton","Ripley","http://dbpedia.org/resource/Ripley,_Surrey","1945-03-30"
