"Medicine_misspelled","Medicine_misspelled__URI","Medicine","Medicine__URI","Trade","Trade__URI","ATC Code","Route of administration","Route of administration__URI"
"acetomenophen","http://dbpedia.org/resource/Paracetamol","acetaminophen","http://dbpedia.org/resource/Paracetamol","Tylenol","http://dbpedia.org/resource/Tylenol_(brand)","N02BE01","Rectal","http://dbpedia.org/resource/Rectal_administration"
"aspirine","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asprine","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD06","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperine","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD07","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperines","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD08","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspin","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD09","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperin","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD10","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspren","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD11","By mouth","http://dbpedia.org/resource/Oral_administration"
"assprin","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD12","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspririn","http://dbpedia.org/resource/Aspirin","aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD13","By mouth","http://dbpedia.org/resource/Oral_administration"
