"OAU State","OAU State__URI","Official Language","Official Language__URI","IMF SDRs","Date of Independence","Head of Central Bank","Capital","Capital__URI","IMF #Votes","Name of Currency","Name of Currency__URI"
"Algeria","http://dbpedia.org/resource/Algeria","Arabic","http://dbpedia.org/resource/Arabic","914.4","Jul 1962","Abdelouahab Keramane","Algiers","http://dbpedia.org/resource/Algiers","9,394","Dinar","http://dbpedia.org/resource/Algerian_dinar"
"Angola","http://dbpedia.org/resource/Angola","Portuguese","http://dbpedia.org/resource/Portuguese_language","207.3","Nov 1975","Mario de Alcantara Monteiro","Luanda","http://dbpedia.org/resource/Luanda","2,323","New Kwanza","http://dbpedia.org/resource/Angolan_kwanza"
"Benin","http://dbpedia.org/resource/Benin","French","http://dbpedia.org/resource/French_language","45.3","Aug 1960","Moise Mensah","Porto-Novo","http://dbpedia.org/resource/Porto-Novo","703","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Bostwana","http://dbpedia.org/resource/Botswana","English","http://dbpedia.org/resource/English_language","36.6","Sep 1966","Balendzi Gaolathe","Gaborone","http://dbpedia.org/resource/Gaborone","616","Pula","http://dbpedia.org/resource/Botswana_pula"
"Burkina Faso","http://dbpedia.org/resource/Burkina_Faso","French","http://dbpedia.org/resource/French_language","44.2","Aug 1960","Tertius Zongo","Ouagadougou","http://dbpedia.org/resource/Ouagadougou","696","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Burundi","http://dbpedia.org/resource/Burundi","Rundi","http://dbpedia.org/resource/Kirundi","57.2","Jul 1962","Mathias Sinamenye","Bujumbuna","http://dbpedia.org/resource/Bujumbura","822","Brundi franc","http://dbpedia.org/resource/Burundian_franc"
"Burundi","http://dbpedia.org/resource/Burundi","French","http://dbpedia.org/resource/French_language","57.2","Jul 1962","Mathias Sinamenye","Bujumbuna","http://dbpedia.org/resource/Bujumbura","822","Brundi franc","http://dbpedia.org/resource/Burundian_franc"
"Cameroon","http://dbpedia.org/resource/Cameroon","French","http://dbpedia.org/resource/French_language","135.1","Jan 1960","Edouard Akame Mfoumou","Yaounde","http://dbpedia.org/resource/Yaoundé","1.601","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Cameroon","http://dbpedia.org/resource/Cameroon","Eng.","http://dbpedia.org/resource/English_language","135.1","Jan 1960","Edouard Akame Mfoumou","Yaounde","http://dbpedia.org/resource/Yaoundé","1.601","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Cape Verde","http://dbpedia.org/resource/Cape_Verde","Portuguese","http://dbpedia.org/resource/Portuguese_language","7.0","Jul 1975","Antonio Gualberto do Rosario","Praia","http://dbpedia.org/resource/Praia","320","Escudo","http://dbpedia.org/resource/Cape_Verdean_escudo"
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","French","http://dbpedia.org/resource/French_language","41.2","Aug 1960","Anicet-Georges Dologuele","Bangui","http://dbpedia.org/resource/Bangui","662","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","Sango","http://dbpedia.org/resource/Sango_language","41.2","Aug 1960","Anicet-Georges Dologuele","Bangui","http://dbpedia.org/resource/Bangui","662","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Chad","http://dbpedia.org/resource/Chad","Arabic","http://dbpedia.org/resource/Arabic","41.3","Aug 1960","Bichara Cherif Daoussa","N'Ojamena","http://dbpedia.org/resource/N'Djamena","663","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Chad","http://dbpedia.org/resource/Chad","French","http://dbpedia.org/resource/French_language","41.3","Aug 1960","Bichara Cherif Daoussa","N'Ojamena","http://dbpedia.org/resource/N'Djamena","663","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Comoros","http://dbpedia.org/resource/Comoros","Comorian","http://dbpedia.org/resource/Comorian_language","6.5","Jul 1975","Mohamed Ali Soilihi","Moroni","http://dbpedia.org/resource/Moroni,_Comoros","315","Comorian franc","http://dbpedia.org/resource/Comorian_franc"
"Congo, Democratic Republic of the","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","French","http://dbpedia.org/resource/French_language","291.0","Aug 1960","Vanant","Kinshasa","http://dbpedia.org/resource/Kinshasa","000","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Congo, Repulic Of","http://dbpedia.org/resource/Republic_of_the_Congo","French","http://dbpedia.org/resource/French_language","57.9","Jun 1960","Nguila Moungounga-Nkombo","Brazaville","http://dbpedia.org/resource/Brazzaville","829","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Cote d'Ivoire","http://dbpedia.org/resource/Ivory_Coast","French","http://dbpedia.org/resource/French_language","238.2","Aug 1960","N'Goran Niamien","Abidjan","http://dbpedia.org/resource/Abidjan","2632","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Dijibouti","http://dbpedia.org/resource/Djibouti","Arabic","http://dbpedia.org/resource/Arabic","11.5","Jun 1977","Djama Mahamoud Haid","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","365","Djib franc","http://dbpedia.org/resource/Djiboutian_franc"
"Dijibouti","http://dbpedia.org/resource/Djibouti","French","http://dbpedia.org/resource/French_language","11.5","Jun 1977","Djama Mahamoud Haid","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","365","Djib franc","http://dbpedia.org/resource/Djiboutian_franc"
"Egypt","http://dbpedia.org/resource/Egypt","Arabic","http://dbpedia.org/resource/Arabic","678.4","Feb 1922","Moheiddin El-Gharib","Cairo","http://dbpedia.org/resource/Cairo","7,034","Egyptian, Pound","http://dbpedia.org/resource/Egyptian_pound"
"Equatorial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","Spanish","http://dbpedia.org/resource/Spanish_language","24.3","Oct 1968","Marceli Oyono Ntutumu","Malabo","http://dbpedia.org/resource/Malabo","493","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Eritrea","http://dbpedia.org/resource/Eritrea","","","11.5","May 1993","Tekie Beyene","Asmara","http://dbpedia.org/resource/Asmara","365","Nakfa","http://dbpedia.org/resource/Eritrean_nakfa"
"Ethiopia","http://dbpedia.org/resource/Ethiopia","Amharic","http://dbpedia.org/resource/Amharic","98.3","1,000BC","Dubale Jale","Addis Ababa","http://dbpedia.org/resource/Addis_Ababa","1,233","Birr","http://dbpedia.org/resource/Ethiopian_birr"
"Gabon","http://dbpedia.org/resource/Gabon","French","http://dbpedia.org/resource/French_language","110.3","Aug 1960","Marcel Doupamby Matoka","Libreville","http://dbpedia.org/resource/Libreville","1,242","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Gambia, The","http://dbpedia.org/resource/The_Gambia","English","http://dbpedia.org/resource/English_language","22.9","Feb 1965","Dominic Mendy","Benjul","http://dbpedia.org/resource/Banjul","479","Dalasi","http://dbpedia.org/resource/Gambian_dalasi"
"Ghana","http://dbpedia.org/resource/Ghana","English","http://dbpedia.org/resource/English_language","274.0","Mar 1957","Kwabena Duffour","Accra","http://dbpedia.org/resource/Accra","2,990","Cedi","http://dbpedia.org/resource/Cedi"
"Guinea","http://dbpedia.org/resource/Guinea","French","http://dbpedia.org/resource/French_language","78.7","Oct 1958","Ibrahima Kassory Fofana","Conakry","http://dbpedia.org/resource/Conakry","1,037","Guinean franc","http://dbpedia.org/resource/Guinean_franc"
"Guinea-Bissau","http://dbpedia.org/resource/Guinea-Bissau","Portuguese","http://dbpedia.org/resource/Portuguese_language","10.5","Sep 1974","Issufo Sanha","Bissau","http://dbpedia.org/resource/Bissau","355","Guinea-Bissau peso","http://dbpedia.org/resource/Guinea-Bissau_peso"
